dt:1.0413441658,J_ar:205,J_se:31,J_ds:17,J_ss:4,J_ms:17
dt:1.02150297165,J_ar:204,J_se:30,J_ds:17,J_ss:4,J_ms:17
dt:1.04422402382,J_ar:209,J_se:32,J_ds:17,J_ss:5,J_ms:17
dt:1.01900792122,J_ar:205,J_se:31,J_ds:17,J_ss:4,J_ms:17
dt:1.01389408112,J_ar:190,J_se:30,J_ds:17,J_ss:4,J_ms:17
dt:1.03821587563,J_ar:202,J_se:31,J_ds:17,J_ss:4,J_ms:17
dt:1.04718995094,J_ar:208,J_se:32,J_ds:17,J_ss:5,J_ms:17
dt:1.0146009922,J_ar:201,J_se:30,J_ds:17,J_ss:4,J_ms:17
dt:1.01444411278,J_ar:201,J_se:31,J_ds:17,J_ss:4,J_ms:17
dt:1.02549290657,J_ar:204,J_se:29,J_ds:17,J_ss:4,J_ms:17
dt:1.05384516716,J_ar:212,J_se:31,J_ds:17,J_ss:5,J_ms:17
dt:1.0216729641,J_ar:202,J_se:30,J_ds:17,J_ss:4,J_ms:17
dt:1.03915095329,J_ar:210,J_se:31,J_ds:17,J_ss:4,J_ms:17
dt:1.05152106285,J_ar:209,J_se:31,J_ds:18,J_ss:5,J_ms:18
dt:1.04100990295,J_ar:199,J_se:32,J_ds:17,J_ss:4,J_ms:17
dt:1.0252571106,J_ar:202,J_se:31,J_ds:17,J_ss:4,J_ms:17
dt:1.03351092339,J_ar:206,J_se:31,J_ds:17,J_ss:4,J_ms:17
dt:1.02561807632,J_ar:206,J_se:30,J_ds:17,J_ss:4,J_ms:17
dt:1.01462602615,J_ar:200,J_se:31,J_ds:17,J_ss:4,J_ms:17
dt:1.05109286308,J_ar:195,J_se:31,J_ds:17,J_ss:5,J_ms:17
dt:1.0564250946,J_ar:205,J_se:32,J_ds:17,J_ss:3,J_ms:17
dt:1.04388689995,J_ar:204,J_se:31,J_ds:18,J_ss:3,J_ms:18
dt:1.03396701813,J_ar:199,J_se:31,J_ds:17,J_ss:4,J_ms:17
dt:1.03268504143,J_ar:173,J_se:31,J_ds:17,J_ss:4,J_ms:17
dt:1.02862501144,J_ar:189,J_se:31,J_ds:17,J_ss:4,J_ms:17
dt:1.02837491035,J_ar:190,J_se:31,J_ds:17,J_ss:5,J_ms:17
dt:1.04707217216,J_ar:146,J_se:31,J_ds:17,J_ss:3,J_ms:17
dt:1.0658159256,J_ar:205,J_se:30,J_ds:17,J_ss:5,J_ms:17
dt:1.04953694344,J_ar:199,J_se:28,J_ds:18,J_ss:4,J_ms:18
dt:1.05760192871,J_ar:212,J_se:32,J_ds:17,J_ss:4,J_ms:17
dt:1.09637713432,J_ar:213,J_se:33,J_ds:18,J_ss:4,J_ms:18
dt:1.02202391624,J_ar:207,J_se:31,J_ds:18,J_ss:4,J_ms:18
dt:1.04327201843,J_ar:210,J_se:31,J_ds:17,J_ss:4,J_ms:17
dt:1.03742098808,J_ar:180,J_se:32,J_ds:17,J_ss:5,J_ms:17
dt:1.02177810669,J_ar:210,J_se:30,J_ds:17,J_ss:4,J_ms:17
dt:1.02995300293,J_ar:205,J_se:31,J_ds:17,J_ss:4,J_ms:17
dt:1.03551197052,J_ar:181,J_se:31,J_ds:17,J_ss:4,J_ms:17
dt:1.06755495071,J_ar:215,J_se:32,J_ds:17,J_ss:5,J_ms:17
dt:1.00641989708,J_ar:198,J_se:30,J_ds:17,J_ss:4,J_ms:17
dt:1.0053730011,J_ar:173,J_se:31,J_ds:17,J_ss:4,J_ms:17
dt:1.05409312248,J_ar:212,J_se:31,J_ds:17,J_ss:4,J_ms:17
dt:1.0388379097,J_ar:206,J_se:31,J_ds:17,J_ss:4,J_ms:17
dt:1.04388809204,J_ar:203,J_se:31,J_ds:17,J_ss:4,J_ms:17
dt:1.02190089226,J_ar:206,J_se:31,J_ds:17,J_ss:4,J_ms:17
dt:1.04102611542,J_ar:207,J_se:31,J_ds:17,J_ss:5,J_ms:17
dt:1.00261187553,J_ar:201,J_se:31,J_ds:17,J_ss:4,J_ms:17
dt:1.07486701012,J_ar:214,J_se:30,J_ds:17,J_ss:4,J_ms:17
dt:1.00434017181,J_ar:198,J_se:32,J_ds:17,J_ss:4,J_ms:17
dt:1.03326582909,J_ar:203,J_se:31,J_ds:17,J_ss:4,J_ms:17
dt:1.00318717957,J_ar:202,J_se:30,J_ds:17,J_ss:4,J_ms:17
dt:1.04738879204,J_ar:208,J_se:31,J_ds:17,J_ss:4,J_ms:17
dt:1.06041717529,J_ar:210,J_se:32,J_ds:18,J_ss:5,J_ms:18
dt:1.0234708786,J_ar:203,J_se:31,J_ds:17,J_ss:4,J_ms:17
dt:1.02332210541,J_ar:205,J_se:31,J_ds:17,J_ss:4,J_ms:17
dt:1.0486600399,J_ar:209,J_se:31,J_ds:17,J_ss:4,J_ms:17
dt:1.03950691223,J_ar:207,J_se:31,J_ds:17,J_ss:4,J_ms:17
dt:1.06276297569,J_ar:210,J_se:31,J_ds:17,J_ss:4,J_ms:17
dt:1.02271008492,J_ar:207,J_se:32,J_ds:17,J_ss:5,J_ms:17
dt:1.05945086479,J_ar:210,J_se:32,J_ds:18,J_ss:4,J_ms:18
dt:1.039301157,J_ar:199,J_se:29,J_ds:17,J_ss:4,J_ms:17
dt:1.0264518261,J_ar:203,J_se:31,J_ds:17,J_ss:4,J_ms:17
dt:1.04328012466,J_ar:209,J_se:32,J_ds:17,J_ss:4,J_ms:17
dt:1.03425908089,J_ar:206,J_se:31,J_ds:18,J_ss:4,J_ms:18
dt:1.04298496246,J_ar:205,J_se:31,J_ds:17,J_ss:5,J_ms:17
dt:1.06307291985,J_ar:209,J_se:32,J_ds:18,J_ss:4,J_ms:18
dt:1.01336598396,J_ar:201,J_se:30,J_ds:17,J_ss:4,J_ms:17
dt:1.02523899078,J_ar:207,J_se:31,J_ds:17,J_ss:4,J_ms:17
dt:1.0387430191,J_ar:204,J_se:31,J_ds:17,J_ss:5,J_ms:17
dt:1.01406908035,J_ar:199,J_se:30,J_ds:17,J_ss:4,J_ms:17
dt:1.020622015,J_ar:203,J_se:31,J_ds:17,J_ss:4,J_ms:17
dt:1.02291083336,J_ar:201,J_se:31,J_ds:17,J_ss:4,J_ms:17
dt:1.05133199692,J_ar:210,J_se:32,J_ds:17,J_ss:4,J_ms:17
dt:1.01293110847,J_ar:197,J_se:30,J_ds:17,J_ss:4,J_ms:17
dt:1.00869297981,J_ar:202,J_se:30,J_ds:17,J_ss:4,J_ms:17
dt:1.01867103577,J_ar:200,J_se:31,J_ds:17,J_ss:5,J_ms:17
dt:1.0026910305,J_ar:199,J_se:26,J_ds:16,J_ss:4,J_ms:16
dt:1.07575583458,J_ar:212,J_se:20,J_ds:18,J_ss:3,J_ms:18
dt:1.07378602028,J_ar:217,J_se:33,J_ds:18,J_ss:5,J_ms:18
dt:1.00911998749,J_ar:198,J_se:29,J_ds:17,J_ss:4,J_ms:17
dt:1.09122920036,J_ar:213,J_se:31,J_ds:17,J_ss:4,J_ms:17
dt:1.0579957962,J_ar:208,J_se:33,J_ds:18,J_ss:4,J_ms:18
dt:1.01122307777,J_ar:207,J_se:30,J_ds:17,J_ss:4,J_ms:17
dt:1.02394199371,J_ar:203,J_se:31,J_ds:17,J_ss:5,J_ms:17
dt:1.04839396477,J_ar:207,J_se:31,J_ds:17,J_ss:4,J_ms:17
dt:1.02531099319,J_ar:201,J_se:31,J_ds:17,J_ss:4,J_ms:17
dt:1.02350997925,J_ar:203,J_se:30,J_ds:17,J_ss:4,J_ms:17
dt:1.00308299065,J_ar:202,J_se:31,J_ds:16,J_ss:4,J_ms:16
dt:1.05221199989,J_ar:204,J_se:32,J_ds:18,J_ss:4,J_ms:18
dt:1.02961707115,J_ar:208,J_se:30,J_ds:17,J_ss:5,J_ms:17
dt:1.03871202469,J_ar:207,J_se:32,J_ds:17,J_ss:4,J_ms:17
dt:1.04265189171,J_ar:208,J_se:31,J_ds:17,J_ss:4,J_ms:17
dt:1.02636909485,J_ar:198,J_se:31,J_ds:17,J_ss:3,J_ms:17
dt:1.01865005493,J_ar:192,J_se:30,J_ds:17,J_ss:4,J_ms:17
dt:1.03754997253,J_ar:206,J_se:31,J_ds:17,J_ss:5,J_ms:17
dt:1.00927400589,J_ar:89,J_se:31,J_ds:16,J_ss:4,J_ms:16
dt:1.03587198257,J_ar:110,J_se:31,J_ds:17,J_ss:4,J_ms:17
dt:1.05634999275,J_ar:95,J_se:31,J_ds:18,J_ss:3,J_ms:18
dt:1.02079701424,J_ar:101,J_se:31,J_ds:17,J_ss:4,J_ms:17
dt:1.07515907288,J_ar:107,J_se:32,J_ds:17,J_ss:5,J_ms:17
dt:1.0337369442,J_ar:95,J_se:31,J_ds:17,J_ss:4,J_ms:17
dt:1.05549788475,J_ar:101,J_se:32,J_ds:18,J_ss:5,J_ms:18
dt:1.02932906151,J_ar:97,J_se:31,J_ds:17,J_ss:4,J_ms:17
dt:1.01256799698,J_ar:99,J_se:30,J_ds:17,J_ss:4,J_ms:17
dt:1.02123308182,J_ar:124,J_se:31,J_ds:17,J_ss:4,J_ms:17
dt:1.00293803215,J_ar:200,J_se:30,J_ds:17,J_ss:4,J_ms:17
dt:1.01722002029,J_ar:195,J_se:30,J_ds:17,J_ss:4,J_ms:17
dt:1.01768779755,J_ar:202,J_se:31,J_ds:17,J_ss:4,J_ms:17
dt:1.01811218262,J_ar:203,J_se:31,J_ds:17,J_ss:4,J_ms:17
dt:1.01161694527,J_ar:202,J_se:30,J_ds:17,J_ss:3,J_ms:17
dt:1.05066585541,J_ar:207,J_se:32,J_ds:17,J_ss:3,J_ms:17
dt:1.00787901878,J_ar:201,J_se:29,J_ds:17,J_ss:5,J_ms:17
dt:1.08109712601,J_ar:217,J_se:33,J_ds:18,J_ss:4,J_ms:18
dt:1.04304790497,J_ar:199,J_se:31,J_ds:18,J_ss:4,J_ms:18
dt:1.01669716835,J_ar:204,J_se:31,J_ds:17,J_ss:4,J_ms:17
dt:1.0409078598,J_ar:208,J_se:31,J_ds:17,J_ss:4,J_ms:17
dt:1.0291390419,J_ar:204,J_se:31,J_ds:17,J_ss:4,J_ms:17
dt:1.05116701126,J_ar:209,J_se:32,J_ds:18,J_ss:5,J_ms:18
dt:1.02978205681,J_ar:204,J_se:30,J_ds:17,J_ss:4,J_ms:17
dt:1.01699781418,J_ar:201,J_se:31,J_ds:17,J_ss:4,J_ms:17
dt:1.02722811699,J_ar:202,J_se:31,J_ds:17,J_ss:5,J_ms:17
dt:1.02023410797,J_ar:199,J_se:30,J_ds:17,J_ss:4,J_ms:17
dt:1.0477669239,J_ar:199,J_se:31,J_ds:17,J_ss:4,J_ms:17
dt:1.00932002068,J_ar:202,J_se:31,J_ds:17,J_ss:4,J_ms:17
dt:1.00686502457,J_ar:193,J_se:30,J_ds:17,J_ss:4,J_ms:17
dt:1.04413485527,J_ar:208,J_se:32,J_ds:17,J_ss:4,J_ms:17
dt:1.02476596832,J_ar:203,J_se:30,J_ds:17,J_ss:4,J_ms:17
dt:1.03275799751,J_ar:207,J_se:31,J_ds:18,J_ss:4,J_ms:18
dt:1.01645112038,J_ar:202,J_se:31,J_ds:17,J_ss:4,J_ms:17
dt:1.02265000343,J_ar:205,J_se:30,J_ds:17,J_ss:4,J_ms:17
dt:1.04550504684,J_ar:209,J_se:32,J_ds:17,J_ss:5,J_ms:17
dt:1.03648686409,J_ar:205,J_se:29,J_ds:18,J_ss:4,J_ms:18
dt:1.05119395256,J_ar:211,J_se:33,J_ds:17,J_ss:4,J_ms:17
dt:1.00794219971,J_ar:198,J_se:22,J_ds:17,J_ss:4,J_ms:17
dt:1.00095200539,J_ar:201,J_se:31,J_ds:17,J_ss:4,J_ms:17
dt:1.02237200737,J_ar:203,J_se:30,J_ds:17,J_ss:4,J_ms:17
dt:1.05356693268,J_ar:208,J_se:32,J_ds:18,J_ss:5,J_ms:18
dt:1.01444292068,J_ar:203,J_se:30,J_ds:17,J_ss:4,J_ms:17
dt:1.05154299736,J_ar:210,J_se:32,J_ds:17,J_ss:4,J_ms:17
dt:1.03109097481,J_ar:193,J_se:31,J_ds:18,J_ss:4,J_ms:18
dt:1.01137399673,J_ar:202,J_se:30,J_ds:17,J_ss:4,J_ms:17
dt:1.02903103828,J_ar:200,J_se:31,J_ds:17,J_ss:5,J_ms:17
dt:1.00053215027,J_ar:198,J_se:30,J_ds:17,J_ss:4,J_ms:17
dt:1.01946592331,J_ar:203,J_se:31,J_ds:17,J_ss:3,J_ms:17
dt:1.01878595352,J_ar:204,J_se:30,J_ds:17,J_ss:4,J_ms:17
dt:1.02111697197,J_ar:203,J_se:31,J_ds:17,J_ss:4,J_ms:17
dt:1.00173807144,J_ar:200,J_se:30,J_ds:17,J_ss:4,J_ms:17
dt:1.01021003723,J_ar:200,J_se:30,J_ds:17,J_ss:5,J_ms:17
dt:1.0234079361,J_ar:206,J_se:31,J_ds:17,J_ss:4,J_ms:17
dt:1.0255548954,J_ar:203,J_se:30,J_ds:17,J_ss:4,J_ms:17
dt:1.00997018814,J_ar:202,J_se:31,J_ds:17,J_ss:4,J_ms:17
dt:1.05818986893,J_ar:210,J_se:30,J_ds:18,J_ss:4,J_ms:18
dt:1.01656293869,J_ar:200,J_se:30,J_ds:17,J_ss:5,J_ms:17
dt:1.04694914818,J_ar:205,J_se:31,J_ds:17,J_ss:4,J_ms:17
dt:1.06954598427,J_ar:203,J_se:32,J_ds:18,J_ss:4,J_ms:18
dt:1.04785990715,J_ar:201,J_se:32,J_ds:18,J_ss:3,J_ms:18
dt:1.0259540081,J_ar:204,J_se:31,J_ds:17,J_ss:4,J_ms:17
dt:1.00473093987,J_ar:199,J_se:30,J_ds:17,J_ss:4,J_ms:17
dt:1.00877118111,J_ar:200,J_se:30,J_ds:17,J_ss:5,J_ms:17
dt:1.01668190956,J_ar:200,J_se:31,J_ds:17,J_ss:4,J_ms:17
dt:1.02373099327,J_ar:204,J_se:30,J_ds:17,J_ss:4,J_ms:17
dt:1.02893710136,J_ar:199,J_se:30,J_ds:17,J_ss:4,J_ms:17
dt:1.01653289795,J_ar:205,J_se:27,J_ds:17,J_ss:4,J_ms:17
dt:1.05852007866,J_ar:211,J_se:32,J_ds:18,J_ss:4,J_ms:18
dt:1.0080268383,J_ar:201,J_se:30,J_ds:17,J_ss:4,J_ms:17
dt:1.0530500412,J_ar:209,J_se:32,J_ds:18,J_ss:5,J_ms:18
dt:1.00836205482,J_ar:202,J_se:30,J_ds:17,J_ss:4,J_ms:17
dt:1.03084397316,J_ar:202,J_se:31,J_ds:17,J_ss:4,J_ms:17
dt:1.08265805244,J_ar:217,J_se:33,J_ds:18,J_ss:4,J_ms:18
dt:1.04801487923,J_ar:209,J_se:31,J_ds:18,J_ss:5,J_ms:18
dt:1.01957321167,J_ar:203,J_se:31,J_ds:17,J_ss:4,J_ms:17
dt:1.0488858223,J_ar:208,J_se:31,J_ds:17,J_ss:4,J_ms:17
dt:1.01621699333,J_ar:203,J_se:30,J_ds:17,J_ss:4,J_ms:17
dt:1.01611709595,J_ar:202,J_se:31,J_ds:17,J_ss:4,J_ms:17
dt:1.04532289505,J_ar:209,J_se:31,J_ds:18,J_ss:4,J_ms:18
dt:1.01269316673,J_ar:201,J_se:31,J_ds:17,J_ss:4,J_ms:17
dt:1.001060009,J_ar:201,J_se:30,J_ds:16,J_ss:4,J_ms:16
dt:1.03992199898,J_ar:203,J_se:31,J_ds:18,J_ss:4,J_ms:18
dt:1.01531386375,J_ar:204,J_se:30,J_ds:17,J_ss:4,J_ms:17
dt:1.0517001152,J_ar:204,J_se:32,J_ds:17,J_ss:5,J_ms:17
dt:1.04392194748,J_ar:201,J_se:31,J_ds:18,J_ss:4,J_ms:18
dt:1.03698992729,J_ar:209,J_se:32,J_ds:17,J_ss:4,J_ms:17
dt:1.00163912773,J_ar:197,J_se:30,J_ds:17,J_ss:5,J_ms:17
dt:1.05465984344,J_ar:211,J_se:31,J_ds:17,J_ss:3,J_ms:17
dt:1.0444381237,J_ar:209,J_se:31,J_ds:18,J_ss:4,J_ms:18
dt:1.0562338829,J_ar:207,J_se:32,J_ds:18,J_ss:4,J_ms:18
dt:1.02541518211,J_ar:206,J_se:30,J_ds:17,J_ss:5,J_ms:17
dt:1.02045583725,J_ar:195,J_se:31,J_ds:17,J_ss:4,J_ms:17
dt:1.00663113594,J_ar:205,J_se:31,J_ds:17,J_ss:4,J_ms:17
dt:1.01687192917,J_ar:200,J_se:30,J_ds:17,J_ss:3,J_ms:17
dt:1.03435993195,J_ar:210,J_se:31,J_ds:17,J_ss:5,J_ms:17
dt:1.0203461647,J_ar:201,J_se:31,J_ds:17,J_ss:4,J_ms:17
dt:1.03286385536,J_ar:207,J_se:31,J_ds:17,J_ss:4,J_ms:17
dt:1.0398850441,J_ar:206,J_se:31,J_ds:18,J_ss:4,J_ms:18
dt:1.01156806946,J_ar:200,J_se:30,J_ds:17,J_ss:4,J_ms:17
dt:1.02409005165,J_ar:201,J_se:31,J_ds:17,J_ss:4,J_ms:17
dt:1.00418686867,J_ar:202,J_se:30,J_ds:17,J_ss:4,J_ms:17
dt:1.0111811161,J_ar:201,J_se:31,J_ds:17,J_ss:4,J_ms:17
dt:1.03008699417,J_ar:204,J_se:31,J_ds:17,J_ss:4,J_ms:17
dt:1.00355100632,J_ar:200,J_se:29,J_ds:17,J_ss:4,J_ms:17
